	Title	Description	Links	Publication Date
14	Состояние главы Louis Vuitton выросло на $8 млрд за неделю	Париж, 25 октября 2020, 10:19 — REGNUM Президент группы компаний Louis Vuitton Moët Hennessy (LVMH) Бернар Арно увеличил своё состояние на $8 млрд за текущую неделю. 24 октября об этом сообщает журнал Forbes.	https://yandex.ru/news/story/Sostoyanie_glavy_Louis_Vuitton_vyroslo_na_$8_mlrd_za_nedelyu--808c60f9e6e20927de7dd47e8b260113?lang=ru&from=rss&wan=1&stid=2nqaVcIujM6FGMR5ZcyU	25 Oct 2020 07:19:58 +0000
15	Жириновский потребовал отобрать у Мясникова диплом врача	Врач и телеведущий Александр Мясников прокомментировал призыв лидера ЛДПР Владимира Жириновского лишить его права заниматься медицинской деятельностью из-за заявлений о коронавирусе.	https://yandex.ru/news/story/Myasnikov_otvetil_na_prizyv_ZHirinovskogo_lishit_ego_diploma_vracha--7fd4881821865645e3a83cef4f88a81f?lang=ru&from=rss&wan=1&stid=lzLP5boHbMZasqqasKto	25 Oct 2020 06:52:09 +0000
16	Количество случаев коронавируса в Приморье выросло в два раза за месяц	&quot;Количество заболевших за прошедшие сутки в два раза превышает показатель начала месяца — еще в начале октября это значение колебалось от 70 до 80 случаев&quot;, — отметили в оперативном штабе.	https://yandex.ru/news/story/Kolichestvo_sluchaev_koronavirusa_v_Primore_vyroslo_v_dva_raza_za_mesyac--abc10b9875cb67f88c5de7d229e4d7bf?lang=ru&from=rss&wan=1&stid=sBuKHh7_ytMAzQy-21dl	25 Oct 2020 04:52:08 +0000
17	Обама обвинил Трампа в высокой заболеваемости коронавирусом в США	Экс-главы Соединенных Штатов Барак Обама возложил ответственность за рекордно высокую заболеваемость коронавирусом в стране на действующему президента Дональда Трамп. Такое заявление политик сделал в субботу, 24 октября, во время своего выступления на митинге в поддержку Байдена во Флориде.	https://yandex.ru/news/story/Obama_obvinil_Trampa_v_vysokoj_zabolevaemosti_koronavirusom_v_SSHA--2f33aec2a83a93fa70462ae85dc1af52?lang=ru&from=rss&wan=1&stid=6tYlq3755mGlcOn_43Im	25 Oct 2020 03:04:35 +0000
18	Вирусолог определил срок стабилизации ситуации с коронавирусом в России	Ситуация с распространением COVID-19 может стабилизироваться к лету 2021 года. Такое мнение в интервью &quot;Парламентской газете&quot; высказал вирусолог Центра эпидемиологии и микробиологии имени Гамалеи профессор Виктор Зуев. По словам известного ученого, коронавирус - это пневмотропный вирус.	https://yandex.ru/news/story/Virusolog_opredelil_srok_stabilizacii_situacii_s_koronavirusom_v_Rossii--fc0e291959842c0bbaac88b001fde5f1?lang=ru&from=rss&wan=1&stid=uObxnN0oFxCTenwNSGYq	25 Oct 2020 03:23:40 +0000
19	В Москве за сутки скончались 68 пациентов с коронавирусом	«В Москве скончались 68 пациентов, у всех был подтверждён диагноз «пневмония» и получен положительный результат тестов на коронавирусную инфекцию», — говорится в сообщении. Накануне в столице скончались 63 заболевших COVID-19.	https://yandex.ru/news/story/V_Moskve_za_sutki_skonchalis_68_pacientov_s_koronavirusom--093bd9f15ef615068024cf3fc66f000a?lang=ru&from=rss&wan=1&stid=JRvWgG8hGnx2VGE6qPNN	24 Oct 2020 20:06:13 +0000
20	Вирусолог Альштейн назвал 7 ноября пиком коронавируса в России	В России пик заболеваемости коронавирусной инфекцией будет достигнут 7 ноября. Такой прогноз сделал вирусолог Анатолий Альштейн, передает РИА Новости. Количество новых случаев коронавирусной случаев из дня в день растет.	https://yandex.ru/news/story/Virusolog_Alshtejn_nazval_7_noyabrya_pikom_koronavirusa_v_Rossii--b4e1983e1996ac386b156baabfb3a6f9?lang=ru&from=rss&wan=1&stid=DyFEjemA	24 Oct 2020 06:08:36 +0000
21	Глава ВОЗ предупредил о нескольких очень трудных месяцах пандемии	Глава Всемирной организации здравоохранения (ВОЗ) Тедрос Аданом Гебрейесус предупредил о том, что ближайшие несколько месяцев пандемии будут очень трудными. Он заявил об этом в пятницу, 23 октября, на брифинге в Женеве, передает ТАСС.	https://yandex.ru/news/story/Glava_VOZ_predupredil_o_neskolkikh_ochen_trudnykh_mesyacakh_pandemii--056376c3def9b14e103af21162e19490?lang=ru&from=rss&wan=1&stid=UuQDKd_xAmsiK33ThO_C	23 Oct 2020 18:49:20 +0000
22	ВОЗ зафиксировала рекордное число случаев коронавируса в мире за сутки	Во Всемирной организации здравоохранения вечером 24 октября сообщили, что вновь побит рекорд по суточному приросту новых случаев коронавируса. В ВОЗ проинформировали о 465 322 человек, заразившихся COVID-19 на планете.	https://yandex.ru/news/story/VOZ_zafiksirovala_rekordnoe_chislo_sluchaev_koronavirusa_v_mire_za_sutki--f02a8cae44feb3b809d24d1f6df86235?lang=ru&from=rss&wan=1&stid=v8uVu-9xvOWTlchYOs_p	23 Oct 2020 19:35:01 +0000
23	В Кремле ожидают содержательное выступление Путина на заседании клуба «Валдай»	Президент Владимир Путин может озвучить мнение по всем актуальным международным и региональным проблемам на заседании клуба &quot;Валдай&quot;. Об этом заявил пресс-секретарь главы государства Дмитрий Песков.	https://yandex.ru/news/story/V_Kremle_ozhidayut_soderzhatelnoe_vystuplenie_Putina_na_zasedanii_kluba_Valdaj--25437d22cef9f72539ef1b130e78a750?lang=ru&from=rss&wan=1&stid=QTv9OsBwOqSvUdzxBzhC	22 Oct 2020 10:31:00 +0000
